Date,Calories (kcal),Fat (g),Carbs (g),Protein (g)
5/29/2024,1818,54,182,150
5/30/2024,1836,87,114,164
5/31/2024,1798,29,225,164
6/1/2024,1657,32,169,171
6/2/2024,1736,61,146,158
6/3/2024,1821,78,96,184
6/4/2024,1371,57,74,145
6/5/2024,1922,46,179,198
6/6/2024,1771,67,126,159
6/7/2024,1791,29,215,165
6/8/2024,1823,56,134,187
6/9/2024,1731,36,172,172
6/10/2024,1717,39,182,169
6/11/2024,1626,78,65,172
6/12/2024,1748,64,120,181
6/13/2024,1738,72,111,171
6/14/2024,1728,39,181,173
6/15/2024,1688,55,118,195
6/16/2024,1778,80,141,151
6/17/2024,1592,78,87,133
6/18/2024,1655,51,158,151
6/19/2024,1562,62,122,138
6/20/2024,1457,45,97,168
6/21/2024,1546,27,157,180
6/22/2024,1025,40,32,128
6/23/2024,1704,46,182,142
6/24/2024,1684,71,120,142
6/25/2024,1675,51,158,149
6/26/2024,1650,28,184,150
6/27/2024,1612,65,112,147
6/28/2024,1595,40,136,206
6/29/2024,1677,32,181,165
6/30/2024,1578,34,169,158
7/1/2024,1719,56,153,158
7/2/2024,1693,40,207,179
7/3/2024,1684,22,221,157
7/4/2024,1677,32,186,152
7/5/2024,1733,71,134,156
7/6/2024,1672,38,199,149
7/7/2024,1658,62,127,155
7/8/2024,1626,50,181,154
7/9/2024,1593,56,132,147
7/10/2024,1587,17,203,158
7/11/2024,1740,48,183,153
7/12/2024,1411,66,53,146
7/13/2024,1654,86,97,124
7/14/2024,1615,60,100,162
7/15/2024,1436,30,123,156
7/16/2024,1703,67,140,127
7/17/2024,1710,70,137,126
7/18/2024,1326,27,110,152
7/19/2024,1520,41,160,125
7/20/2024,1448,27,145,144
7/21/2024,1316,32,122,131
7/22/2024,1495,35,143,153
7/23/2024,1625,47,162,144
7/24/2024,1551,37,174,160
7/25/2024,1706,51,195,137
7/26/2024,1601,39,173,145
7/27/2024,1570,19,195,147
7/28/2024,1192,29,72,148
7/29/2024,1531,49,108,159
7/30/2024,1551,61,104,137
7/31/2024,1565,50,123,143
8/1/2024,1591,42,168,153
8/2/2024,1784,55,94,216
8/3/2024,1561,52,98,169
8/4/2024,1463,67,112,157
8/5/2024,1807,32,165,200
8/6/2024,1907,113,41,203
8/7/2024,2520,80,179,264
8/8/2024,2522,93,202,228
8/9/2024,1705,48,143,202
8/10/2024,1735,72,144,158
8/11/2024,1572,92,22,169
8/12/2024,1284,33,88,155
8/13/2024,1373,48,99,129
8/14/2024,1439,36,115,158
8/15/2024,1445,43,120,140
8/16/2024,1423,72,75,122
8/17/2024,2415,118,216,128
8/18/2024,2132,101,179,133
8/19/2024,1756,34,219,165
8/20/2024,1853,60,133,187
8/21/2024,1951,51,224,149
8/22/2024,1717,26,184,192
8/23/2024,1787,80,89,171
8/24/2024,1819,48,169,174
8/25/2024,1547,62,129,129
8/26/2024,2542,127,210,142
8/27/2024,1576,38,171,128
8/28/2024,2073,94,196,107
8/29/2024,2550,110,272,141
8/30/2024,1738,54,154,154
8/31/2024,2164,86,175,170
9/1/2024,566,15,53,55
9/2/2024,2220,81,229,153
9/3/2024,2068,92,157,149
9/4/2024,1981,87,188,116
9/5/2024,1756,78,130,141
9/7/2024,1790,63,133,165
9/8/2024,2176,131,106,134
9/9/2024,2031,83,172,150
9/10/2024,643,21,19,86
9/11/2024,1611,44,180,127
9/12/2024,2801,135,240,157
9/13/2024,1944,64,159,172
9/14/2024,2077,95,133,170
9/15/2024,2024,79,127,187
9/16/2024,1948,62,151,184
9/17/2024,3354,134,294,249
9/18/2024,1709,50,164,148
9/19/2024,2011,49,219,174
9/20/2024,2036,89,139,161
9/21/2024,2199,90,172,168
9/22/2024,2029,26,301,141
9/23/2024,1931,115,86,137
9/24/2024,1988,114,100,134
9/25/2024,2221,93,210,149
9/26/2024,1658,46,167,137
9/27/2024,1735,37,185,149
9/28/2024,2197,92,165,180
9/29/2024,2308,116,136,180
9/30/2024,1508,62,90,141
10/1/2024,2473,118,179,182
10/2/2024,3042,148,264,167
10/3/2024,1799,49,196,149
10/4/2024,1970,84,178,135
10/5/2024,3677,222,186,242
10/6/2024,2281,102,194,145
10/7/2024,2676,104,278,172
10/8/2024,866,20,124,78
10/9/2024,3100,195,155,194
10/10/2024,3438,144,293,240
10/11/2024,2089,72,195,160
