Date,Trend Weight (lbs)
5/29/2024,164.18
5/30/2024,164.09
5/31/2024,164.03
6/1/2024,164.07
6/2/2024,164.15
6/3/2024,164.06
6/4/2024,163.95
6/5/2024,163.77
6/6/2024,163.69
6/7/2024,163.5
6/8/2024,163.39
6/9/2024,163.27
6/10/2024,163.2
6/11/2024,163.08
6/12/2024,162.88
6/13/2024,162.86
6/14/2024,162.7
6/15/2024,162.72
6/16/2024,162.58
6/17/2024,162.39
6/18/2024,162
6/19/2024,161.84
6/20/2024,161.68
6/21/2024,161.47
6/22/2024,161.45
6/23/2024,161.27
6/24/2024,160.94
6/25/2024,160.65
6/26/2024,160.37
6/27/2024,160.18
6/28/2024,159.92
6/29/2024,159.78
6/30/2024,159.58
7/1/2024,159.4
7/2/2024,159.24
7/3/2024,159.14
7/4/2024,159.15
7/5/2024,159.06
7/6/2024,158.93
7/7/2024,158.89
7/8/2024,158.78
7/9/2024,158.75
7/10/2024,158.59
7/11/2024,158.49
7/12/2024,158.49
7/13/2024,158.27
7/14/2024,158.07
7/15/2024,157.9
7/16/2024,157.8
7/17/2024,157.73
7/18/2024,157.53
7/19/2024,157.35
7/20/2024,157.16
7/21/2024,157.05
7/22/2024,156.83
7/23/2024,156.71
7/24/2024,156.51
7/25/2024,156.29
7/26/2024,156.11
7/27/2024,156.06
7/28/2024,155.94
7/29/2024,155.76
7/30/2024,155.67
7/31/2024,155.46
8/1/2024,155.35
8/2/2024,155.17
8/3/2024,155.02
8/4/2024,154.87
8/5/2024,154.8
8/6/2024,154.69
8/7/2024,154.57
8/8/2024,154.42
8/9/2024,154.26
8/10/2024,154.08
8/11/2024,153.88
8/12/2024,153.68
8/13/2024,153.43
8/14/2024,153.3
8/15/2024,153.07
8/16/2024,152.86
8/17/2024,152.71
8/18/2024,152.51
8/19/2024,152.38
8/20/2024,152.26
8/21/2024,152.05
8/22/2024,151.83
8/23/2024,151.72
8/24/2024,151.56
8/25/2024,151.45
8/26/2024,151.38
8/27/2024,151.27
8/28/2024,151.14
8/29/2024,150.91
8/30/2024,150.81
8/31/2024,150.67
9/1/2024,150.56
9/2/2024,150.51
9/3/2024,150.56
9/4/2024,150.5
9/5/2024,150.44
9/6/2024,150.33
9/7/2024,150.46
9/8/2024,150.4
9/9/2024,150.35
9/10/2024,150.31
9/11/2024,150.22
9/12/2024,150.08
9/13/2024,150.01
9/14/2024,150.06
9/15/2024,149.99
9/16/2024,149.95
9/17/2024,149.92
9/18/2024,149.96
9/19/2024,149.9
9/20/2024,149.87
9/21/2024,149.8
9/22/2024,149.78
9/23/2024,149.7
9/24/2024,149.65
9/25/2024,149.59
